Station,Lat,Lon,Rate,Area
CB1.1,39.54794,-76.08481,-6.918579477782106e-06,Mainstem
CB2.1,39.44149,-76.02599,0.005476345874440843,Mainstem
CB2.2,39.34873,-76.17579,-0.017119857521737773,Mainstem
CB3.1,39.2495,-76.2405,-0.005725130085498509,Mainstem
CB3.2,39.16369,-76.30631,0.002093187787519499,Mainstem
CB3.3C,38.99596,-76.35967,-0.008559404456819212,Mainstem
CB3.3E,39.00412,-76.34517,-0.0009476403609099145,Mainstem
CB3.3W,39.00462,-76.3881,-0.004755523506982687,Mainstem
CB4.1C,38.82593,-76.39945,0.009613116078153624,Mainstem
CB4.1E,38.81809,-76.37144,0.009234452717023169,Mainstem
CB4.1W,38.81498,-76.46272,0.01008698304495432,Mainstem
CB4.2C,38.64618,-76.42127,0.012975426359688676,Mainstem
CB4.2E,38.64498,-76.40131,0.009942007492719607,Mainstem
CB4.2W,38.64354,-76.50217,0.026759951605927833,Mainstem
CB4.3C,38.55505,-76.42794,0.010581432017285132,Mainstem
CB4.3E,38.55624,-76.39121,-0.0002905455824312329,Mainstem
CB4.3W,38.55728,-76.49402,0.028773462028064953,Mainstem
CB4.4,38.41457,-76.34565,0.017152037371481122,Mainstem
CB5.1,38.3187,-76.29215,0.0217878806805479,Mainstem
CB5.2,38.13705,-76.22787,0.01942309658624246,Mainstem
CB5.3,37.91011,-76.17137,-0.0010713106985292774,Mainstem
CB5.4,37.80013,-76.17466,0.04267547366695675,Mainstem
CB5.4W,37.81347,-76.29467,0.024757356321809507,Mainstem
CB5.5,37.6918,-76.18967,0.021337298528351627,Mainstem
CB6.1,37.58847,-76.16216,0.02216142707347362,Mainstem
CB6.2,37.4868,-76.15633,0.02244782282847793,Mainstem
CB6.3,37.41153,-76.15966,0.018894474056628155,Mainstem
CB6.4,37.23653,-76.20799,0.021516130966824438,Mainstem
CB7.1,37.68346,-75.98966,0.014408242857346945,Mainstem
CB7.1N,37.77513,-75.97466,0.02393434407822741,Mainstem
CB7.1S,37.58124,-76.05799,0.03145775552308448,Mainstem
CB7.2,37.41153,-76.07966,0.044253452976024156,Mainstem
CB7.2E,37.41153,-76.02466,0.02793242188629116,Mainstem
CB7.3,37.11681,-76.12521,0.023771587300493714,Mainstem
CB7.3E,37.22875,-76.05383,0.026945186213206893,Mainstem
CB7.3N,37.2488,-76.0764,0.04248018070459153,Mainstem
CB7.4,36.9957,-76.02048,0.0188160569894449,Mainstem
CB7.4N,37.06237,-75.99937,0.0018227225559302941,Mainstem
CB8.1,36.99542,-76.16772,-0.0008493754020879177,Mainstem
CB8.1E,36.94737,-76.03494,0.005572090162869237,Mainstem
EE3.4,37.90846,-75.79132,0.0275194798257786,Tributary
EE3.5,37.79652,-75.84438,0.029454780068420186,Tributary
LE2.3,38.0215,-76.3477,0.026685866213903994,Tributary
LE3.6,37.5968,-76.28467,0.02301546435696589,Tributary
LE3.7,37.53069,-76.30661,0.02642919081084,Tributary
LE5.5-W,36.99903,-76.31328,0.027853447589410586,Tributary
WE4.1,37.31181,-76.34634,0.025621346378884528,Tributary
WE4.2,37.24181,-76.38634,0.015849748659168102,Tributary
WE4.3,37.17681,-76.373,0.02159948643736172,Tributary
WE4.4,37.11015,-76.293,0.017831466294184237,Tributary
1AAUA003.71,38.42305,-77.35528,-0.010024416321493671,Tributary
1ADOU000.60,38.69778,-77.12111,0.001836814254219687,Tributary
1ANEA000.57,38.6,-77.25692,0.010016707410236018,Tributary
1AOCC002.47,38.64028,-77.22222,0.0204122129580389,Tributary
1APOH000.93,38.67,-77.14,0.012108443305138222,Tributary
1APOH002.32,38.68028,-77.16917,-0.0003385355350393938,Tributary
1APOM002.41,38.3475,-77.3275,-0.011428843773462108,Tributary
1AQUA000.43,38.53,-77.28,0.008572584095890772,Tributary
BXK0031,38.1355,-75.751,0.19494365436730468,Tributary
CB1.0,39.65622,-76.17504,0.0,Mainstem
CB5.1W,38.32522,-76.37574,0.019384537387316568,Mainstem
CCM0069,38.44167,-75.90556,0.0565171429699591,Tributary
EBB01,36.83611,-76.24444,0.022450241680384616,Tributary
EBE1,36.8407,-76.28911,0.04202446434640652,Tributary
EE1.1,38.88,-76.2515,0.020697053418123203,Tributary
EE2.1,38.6549,-76.2643,0.02252948464603198,Tributary
EE2.2,38.52609,-76.30408,0.0249639548189435,Tributary
EE3.0,38.28093,-76.01033,0.009754256654941073,Tributary
EE3.1,38.19685,-75.97321,0.011527774409416547,Tributary
EE3.2,37.98139,-75.92423,0.016921251277368675,Tributary
EE3.3,37.91455,-75.80148,0.027228278323326426,Tributary
ELD01,36.86556,-76.32899,0.025657710509353653,Tributary
ELE01,36.84833,-76.29806,0.019774249438954346,Tributary
ELI2,36.88237,-76.33883,0.03510355084459628,Tributary
ET1.1,39.56976,-75.96782,0.0019865299220023914,Tributary
ET10.1,38.07614,-75.57125,-0.0008531588876959135,Tributary
ET2.1,39.5293,-75.81135,-0.017536433144115748,Tributary
ET2.2,39.46704,-75.87368,-0.005653512603396452,Tributary
ET2.3,39.50873,-75.89783,-0.009379278897295748,Tributary
ET3.1,39.36415,-75.88203,0.006353098353879888,Tributary
ET4.1,39.2437,-75.9249,0.003067185970014585,Tributary
ET4.2,38.99233,-76.2151,0.012164573300548315,Tributary
ET5.1,38.80645,-75.90971,0.008071793263057297,Tributary
ET5.2,38.5807,-76.0587,0.025748034207733132,Tributary
ET6.1,38.54833,-75.70306,0.004258901709359258,Tributary
ET6.2,38.34133,-75.88834,0.00846101389250099,Tributary
ET7.1,38.26783,-75.78793,-0.012762458634277734,Tributary
